date,raw_description,amount,channel,category
2026-06-08,UPI-BHARAT PETROLEUM INDIA-974632@apl,500.97,UPI,Transport
2025-10-27,UPI-BHARATPETROLEUM INDIA-828697@upi,2442.72,UPI,Transport
2026-06-07,UPI-ADANI ELECTRICITY-30526@oksbi,2234.62,UPI,Utilities & Bills
2025-11-22,UPI-MERUCABS LTD-867715@apl,663.53,UPI,Transport
2025-07-22,UPI-VISHALMEGAMART-524265@paytm,542.62,UPI,Groceries
2025-09-12,UPI-MTNL DELHI-794838@upi,231.05,UPI,Utilities & Bills
2025-12-30,UPI-BIKANERVALA-319610@oksbi,186.25,UPI,Dining
2026-04-19,UPI-ZEE5 PVT LTD-389124@okaxis,310.21,UPI,Subscriptions
2025-07-15,POS 362687 SHOPPERSSTOP INDIA NOIDA,3364.38,POS,Shopping
2025-11-22,NEFT-VISHALMEGAMART INDIA-N244154,249.73,NEFT,Groceries
2026-05-21,POS 928271 FORTIS HOSPITAL PVT LTD NOIDA,1615.38,POS,Health & Fitness
2025-11-26,UPI-MTNL DELHI-587315@ybl,260.75,UPI,Utilities & Bills
2025-07-26,UPI-STAR BAZ PVT LTD-844625@ibl,302.86,UPI,Groceries
2025-11-26,POS 509899 MERU CABS NOIDA,450.6,POS,Transport
2026-06-17,UPI-AMAZON PRIME VIDEO-795935@upi,1134.17,UPI,Subscriptions
2025-09-07,ACH-RTGS INWARD CREDIT-168355,5381.06,ACH,Income
2026-06-06,POS 231415 MERUCABS LTD DEL,303.38,POS,Transport
2026-06-04,POS 571453 MERU CABS DEL,163.09,POS,Transport
2026-04-06,IMPS-837499-BROKER LTD,24116.92,IMPS,Rent
2025-12-10,UPI-WELLNESSFOREVER PVT LTD-444636@okaxis,180.45,UPI,Health & Fitness
2026-06-14,UPI-BIKANERVALA PVT LTD-955108@apl,262.05,UPI,Dining
2026-04-16,UPI-VISHAL MEGA MART LTD-322037@apl,200.36,UPI,Groceries
2026-05-15,POS 74734 THEOBROMA LTD NOIDA,661.39,POS,Dining
2026-05-07,UPI-ZEE5-687708@ybl,569.91,UPI,Subscriptions
2026-01-09,UPI-BHARAT PETROLEUM-357506@ybl,1330.36,UPI,Transport
2026-03-04,UPI-AMAZONPRIMEVIDEO LTD-965351@ibl,339.76,UPI,Subscriptions
2025-11-29,POS 726880 BHARAT LTD MUM,1330.83,POS,Transport
2026-04-12,UPI-MERUCABS PVT LTD-760749@okaxis,450.43,UPI,Transport
2025-08-27,POS 712514 BIKANERVALA PVT LTD MUM,200.41,POS,Dining
2025-09-11,UPI-BHARATPETROLEUM PVT LTD-60708@okaxis,527.48,UPI,Transport
2025-10-05,UPI-EVENT TICKET LTD-108666@upi,1349.48,UPI,Entertainment
2025-09-07,UPI-GEEKSFORGEEKSCOURSE PVT LTD-785558@upi,2782.04,UPI,Shopping
2025-07-14,UPI-ICICI HOME LOAN EMI LTD-185493@paytm,24553.4,UPI,Transfers & Payments
2026-03-07,UPI-BIKANERVALA-58451@ybl,604.56,UPI,Dining
2026-05-03,NEFT-RTGS INWARD CREDIT INDIA-N343603,49421.7,NEFT,Income
2026-02-02,NEFT-RTGS INWARD CRED-N518860,31172.4,NEFT,Income
2025-10-15,POS 167053 GEEKSFORGEEKS COURSE LTD MUM,1053.54,POS,Shopping
2026-05-15,POS 951116 BHARAT PETROLEUM BLR,1098.05,POS,Transport
2025-10-18,POS 934815 SHOPPERSSTOP MUM,2440.74,POS,Shopping
2025-12-27,IMPS-609230-ZEE5,936.6,IMPS,Subscriptions
2025-07-17,POS 319709 ADANI ELECTRICITY MUM,519.73,POS,Utilities & Bills
2026-02-10,NEFT-BHARAT PE INDIA-N798802,1271.84,NEFT,Transport
2026-01-30,UPI-CINEPOLIS-372084@ibl,446.83,UPI,Entertainment
2026-04-25,UPI-BHARATPETROLEUM PVT LTD-710868@oksbi,1090.73,UPI,Transport
2026-01-04,UPI-BIKANERVALA-416563@oksbi,347.39,UPI,Dining
2025-12-20,NEFT-WELLNESSFOREVER PVT LTD-N615358,552.2,NEFT,Health & Fitness
2025-12-17,POS 326484 MERU CA BLR,249.23,POS,Transport
2025-07-24,UPI-BHARAT PETROLEUM-50398@apl,2007.98,UPI,Transport
2026-06-20,POS 232076 EVENT TICKET INDIA GZB,1491.58,POS,Entertainment
2025-07-17,UPI-FORTIS HOSPITAL-438811@ybl,6030.98,UPI,Health & Fitness
2026-05-11,UPI-MERUCABS PVT LTD-184271@paytm,168.71,UPI,Transport
2025-09-28,UPI-FORTIS HOSPITAL PVT LTD-279349@upi,6889.5,UPI,Health & Fitness
2026-01-10,POS 930942 ICICIHOMELOANEMI MUM,20232.54,POS,Transfers & Payments
2025-12-09,UPI-VISHAL MEGA MART LTD-706613@ibl,1367.93,UPI,Groceries
2026-04-06,POS 348599 STARBAZAAR LTD GZB,1568.15,POS,Groceries
2025-12-25,UPI-STARBAZAAR PVT LTD-968047@apl,1007.52,UPI,Groceries
2026-04-08,UPI-ADANI ELECTRICITY PVT LTD-84013@ybl,3940.26,UPI,Utilities & Bills
2025-08-15,UPI-MTNL DE-480736@ybl,610.89,UPI,Utilities & Bills
2026-02-02,POS 892929 SUBWAY INDIA DEL,327.48,POS,Dining
2025-07-28,NEFT-MTNLDELHI-N296524,516.63,NEFT,Utilities & Bills
2025-08-22,UPI-EVENT TICKET INDIA-944582@upi,2351.45,UPI,Entertainment
2026-03-09,UPI-THEOBROMA-219037@okaxis,1047.06,UPI,Dining
2025-11-17,UPI-BHIMUPI-751870@okaxis,628.14,UPI,Transfers & Payments
2026-03-21,POS 337108 ZEE5 INDIA MUM,526.65,POS,Subscriptions
2025-12-03,ACH-BROKERRENTTRANSFER PVT LTD-326931,10285.27,ACH,Rent
2026-04-20,UPI-ICICIHOMELOANEMI PVT LTD-876470@oksbi,26525.58,UPI,Transfers & Payments
2026-04-23,POS 900274 BHIM UPI NOIDA,270.92,POS,Transfers & Payments
2026-01-03,UPI-ZEE5 LTD-857839@ibl,347.25,UPI,Subscriptions
2026-05-03,IMPS-617528-BROKER RENT TRANSFER PVT LTD,23770.4,IMPS,Rent
2025-08-01,UPI-MTNL DELHI-650468@apl,212.09,UPI,Utilities & Bills
2025-08-26,POS 591719 THEOBROMA INDIA MUM,621.88,POS,Dining
2026-05-27,POS 131461 SHOPPERSSTOP INDIA DEL,800.6,POS,Shopping
2026-06-02,POS 800856 EVENTTICKET MUM,767.09,POS,Entertainment
2025-12-19,UPI-ADANI ELECTRICITY INDIA-216476@upi,738.28,UPI,Utilities & Bills
2026-05-22,UPI-STAR BAZAAR LTD-215452@oksbi,518.52,UPI,Groceries
2025-11-06,NEFT-BROKER RENT T-N523203,25162.62,NEFT,Rent
2026-06-05,UPI-THEOBROMA-126814@upi,347.81,UPI,Dining
2025-09-20,POS 279868 WELLNESSFOREVER BLR,130.47,POS,Health & Fitness
2026-02-24,UPI-SUBWAY-152573@oksbi,301.29,UPI,Dining
2026-03-19,UPI-WELLNE-760855@paytm,140.54,UPI,Health & Fitness
2026-03-17,POS 922897 ICICI HOME LOAN EMI LTD DEL,16863.39,POS,Transfers & Payments
2025-08-27,POS 815017 MTNL DELHI GZB,206.74,POS,Utilities & Bills
2025-08-07,IMPS-149091-RTGS INWARD CREDIT PVT LTD,25117.13,IMPS,Income
2026-05-20,UPI-MERUCABS PVT LTD-173032@ybl,191.59,UPI,Transport
2026-04-03,POS 894228 BIKANERVALA LTD DEL,181.3,POS,Dining
2025-07-18,UPI-PANTALOONS-881413@okaxis,2456.11,UPI,Shopping
2026-05-24,UPI-SHOPPERSSTOP LTD-234795@ybl,5217.89,UPI,Shopping
2025-09-22,UPI-MTNL DELHI-86666@upi,740.33,UPI,Utilities & Bills
2026-04-03,IMPS-185219-BROKER RENT TRANSFER INDIA,10132.3,IMPS,Rent
2025-07-28,UPI-BHARAT-144553@paytm,2195.16,UPI,Transport
2026-06-02,POS 754962 VISHALMEGAMART PVT LTD MUM,779.78,POS,Groceries
2025-09-04,POS 932801 STARBAZAAR LTD MUM,303.27,POS,Groceries
2025-11-03,ACH-BROKER RENT TRANSFER INDIA-569085,26893.75,ACH,Rent
2026-04-29,UPI-BANKTRANSFER-87632@apl,34371.42,UPI,Transfers & Payments
2026-06-08,UPI-VISHAL MEGA MART-292510@upi,658.38,UPI,Groceries
2025-09-14,UPI-SUBWAY-303875@oksbi,225.14,UPI,Dining
2026-02-07,NEFT-BROKERRENTTRANSFER LTD-N597647,11322.32,NEFT,Rent
2025-12-14,POS 316680 SUBWAY PVT LTD MUM,237.25,POS,Dining
2026-03-22,UPI-EVENTTICKET PVT LTD-776152@okaxis,551.23,UPI,Entertainment
2026-03-31,POS 313466 THEOBROMA INDIA NOIDA,391.01,POS,Dining
2025-07-13,UPI-THEOBROMA-499764@ibl,377.66,UPI,Dining
2026-02-09,UPI-THEOBROMA-995500@oksbi,404.18,UPI,Dining
2026-03-05,UPI-MTNL DELHI LTD-785758@apl,895.09,UPI,Utilities & Bills
2025-09-16,UPI-EVENTTICKET-173142@okaxis,2384.48,UPI,Entertainment
2026-03-27,POS 795055 ICICI HOME LOAN EMI PVT LTD DEL,15692.2,POS,Transfers & Payments
2026-02-19,UPI-SHOPPERS STOP-467141@okaxis,5144.06,UPI,Shopping
2026-03-02,UPI-ADANIELECTRICITY-898474@oksbi,695.28,UPI,Utilities & Bills
2025-10-16,NEFT-VISHALMEGAMART PVT LTD-N168037,212.22,NEFT,Groceries
2025-10-05,NEFT-SUBWAY INDIA-N384470,250.8,NEFT,Dining
2025-10-24,IMPS-554069-ICICIHOMELOANEMI,22287.08,IMPS,Transfers & Payments
2025-08-01,POS 803391 WELLNESS FOREVER PVT LTD GZB,449.81,POS,Health & Fitness
2025-08-21,UPI-CINEPOLIS-651489@okaxis,326.31,UPI,Entertainment
2025-11-24,UPI-THEOBROMA-432738@okaxis,332.39,UPI,Dining
2025-12-06,UPI-ZEE5 PVT LTD-592227@upi,443.12,UPI,Subscriptions
2026-05-17,UPI-THEOBROMA-869902@apl,587.41,UPI,Dining
2025-11-19,UPI-ICICI HOME LOAN EMI-908969@paytm,22513.14,UPI,Transfers & Payments
2026-02-21,IMPS-203076-THEOBROMA INDIA,344.18,IMPS,Dining
2026-03-22,UPI-STAR BAZAAR INDIA-803057@ybl,458.95,UPI,Groceries
2025-07-15,POS 940102 SHOPPERS STOP BLR,836.31,POS,Shopping
2026-05-07,IMPS-980936-RTGS INWARD CRE INDIA,21207.26,IMPS,Income
2025-08-27,UPI-BIKANERVALA-877667@apl,388.89,UPI,Dining
2025-11-26,IMPS-186054-SHOPPERS STOP PVT LTD,5995.58,IMPS,Shopping
2025-08-09,UPI-GEEKSFORGEEKSCOURSE-221729@paytm,1040.52,UPI,Shopping
2026-04-22,UPI-WELLNESSFOREVER INDIA-426396@okaxis,903.13,UPI,Health & Fitness
2025-07-25,POS 312173 BIKANERVALA PVT LTD DEL,460.55,POS,Dining
2026-06-06,UPI-PANTALOONS LTD-103030@oksbi,664.39,UPI,Shopping
2025-07-01,NEFT-BROKERRENTTRANSFER INDIA-N903059,13378.45,NEFT,Rent
2025-10-31,POS 675129 ADANI ELECTRICITY INDIA BLR,1553.71,POS,Utilities & Bills
2026-06-05,NEFT-BROKERRENTTRANSFER PVT LTD-N528349,10111.1,NEFT,Rent
2025-08-24,NEFT-MERUCABS-N562988,163.89,NEFT,Transport
2025-12-17,IMPS-147115-BHARAT PETROLEUM,1387.31,IMPS,Transport
2025-10-14,POS 56278 MTNL DELHI BLR,301.43,POS,Utilities & Bills
2026-01-13,UPI-STAR BAZAAR PVT LTD-585050@upi,1778.82,UPI,Groceries
2025-09-17,POS 296018 AMAZON PRIME VIDEO PVT LTD NOIDA,435.01,POS,Subscriptions
2025-10-22,UPI-WELLNESS FOREVER INDIA-632148@paytm,196.96,UPI,Health & Fitness
2025-12-21,UPI-MERUCABS PVT LTD-167258@apl,627.03,UPI,Transport
2026-02-17,UPI-PANTALOONS LTD-176493@oksbi,3424.9,UPI,Shopping
2026-05-26,UPI-SHOPPE PVT LTD-844838@okaxis,5948.53,UPI,Shopping
2025-11-28,POS 726702 MERU CABS LTD DEL,221.29,POS,Transport
2025-09-14,IMPS-472749-WELLNESSFOREVER,411.8,IMPS,Health & Fitness
2026-05-13,UPI-MERU CABS INDIA-42944@upi,380.1,UPI,Transport
2025-10-22,NEFT-VISHALMEGAMART INDIA-N49640,219.62,NEFT,Groceries
2026-04-16,UPI-BHARAT PETROLEUM LTD-973010@paytm,522.98,UPI,Transport
2025-10-02,UPI-EVENTTICKET-365161@paytm,1415.55,UPI,Entertainment
2025-08-01,UPI-VISHAL MEGA MART INDIA-879435@ibl,200.93,UPI,Groceries
2026-01-06,UPI-FORTIS HOSPITAL-677218@ybl,2233.41,UPI,Health & Fitness
2026-05-10,UPI-BHARAT PETROL PVT LTD-140445@okaxis,1845.61,UPI,Transport
2025-12-02,ACH-RTGSINWARDCREDIT LTD-836990,15257.44,ACH,Income
2026-03-11,UPI-BHARAT PETROLEUM-344726@paytm,2127.31,UPI,Transport
2026-05-07,ACH-RTGS INWARD C LTD-801023,9534.47,ACH,Income
2026-03-29,UPI-THEOBROMA INDIA-461408@ibl,709.65,UPI,Dining
2025-08-01,IMPS-947856-RTGS INWARD CREDIT,7226.73,IMPS,Income
2026-01-04,IMPS-647876-RTGSINWARDCREDIT,20846.23,IMPS,Income
2025-08-24,UPI-SHOPPERSSTOP-760019@ybl,3557.33,UPI,Shopping
2026-05-25,POS 78320 ZEE5 PVT LTD GZB,801.49,POS,Subscriptions
2025-10-01,UPI-MERUCABS LTD-395548@paytm,176.93,UPI,Transport
2026-01-25,UPI-AMAZONPRIMEVIDEO-652981@oksbi,328.85,UPI,Subscriptions
2025-07-30,UPI-ADANIELECTRICITY INDIA-345045@ibl,3678.47,UPI,Utilities & Bills
2026-03-26,UPI-MERU CABS PVT LTD-42736@paytm,657.18,UPI,Transport
2025-11-05,POS 30315 SHOPPERS STOP INDIA GZB,1899.87,POS,Shopping
2026-04-29,POS 500218 ADANIELECTRICITY INDIA BLR,1292.35,POS,Utilities & Bills
2026-04-19,IMPS-362796-ICICI HOME LOAN EMI INDIA,22432.67,IMPS,Transfers & Payments
2025-08-13,NEFT-PANTALOONS INDIA-N669221,1862.07,NEFT,Shopping
2025-07-27,UPI-ZEE5 INDIA-58720@paytm,483.67,UPI,Subscriptions
2026-01-20,POS 571612 THEOBROMA DEL,428.55,POS,Dining
2026-02-18,POS 66389 SUBWAY INDIA DEL,204.02,POS,Dining
2025-08-02,NEFT-RTGS INWARD CREDIT-N870024,7142.06,NEFT,Income
2025-08-19,UPI-BANK TRANSFER-128815@apl,1287.92,UPI,Transfers & Payments
2026-01-05,ACH-RTGSINWARDCREDIT PVT LTD-762560,20559.65,ACH,Income
2026-02-09,NEFT-SUBWAY INDIA-N885041,201.68,NEFT,Dining
2026-05-03,UPI-BROKERRENTTRANSFER INDIA-241514@apl,10644.21,UPI,Rent
2026-04-17,UPI-BIKANERVALA LTD-957410@ibl,632.77,UPI,Dining
2026-02-14,UPI-PANTALOONS-942875@apl,1398.72,UPI,Shopping
2025-11-07,UPI-BROKERRENTTRANSFER-410442@okaxis,12136.48,UPI,Rent
2025-09-19,UPI-BANK TRANSFER-886510@ibl,22563.29,UPI,Transfers & Payments
2025-11-12,POS 348429 WELLNESS FOREVER NOIDA,1087.59,POS,Health & Fitness
2025-09-26,UPI-ZEE5 PVT LTD-683463@apl,312.39,UPI,Subscriptions
2025-08-29,UPI-VISHAL MEGA MART PVT LTD-302447@ibl,454.7,UPI,Groceries
2025-09-17,IMPS-421080-BANKTRANSFER,1397.76,IMPS,Transfers & Payments
2025-08-24,UPI-STAR BAZAAR INDIA-472452@oksbi,1475.94,UPI,Groceries
2026-03-23,UPI-WELLNESS FOREVER LTD-536067@upi,363.24,UPI,Health & Fitness
2025-07-23,UPI-BIKANERVALA PVT LTD-642874@oksbi,179.19,UPI,Dining
2026-02-15,UPI-EVENT TICKET INDIA-184117@ibl,786.29,UPI,Entertainment
2025-12-07,NEFT-ZEE5-N74473,874.76,NEFT,Subscriptions
2026-03-10,POS 313271 ZEE5 INDIA GZB,374.15,POS,Subscriptions
2025-11-13,UPI-VISHAL MEGA MART INDIA-361890@oksbi,477.26,UPI,Groceries
2026-05-21,POS 268037 ICICI HOME  LTD BLR,19335.48,POS,Transfers & Payments
2025-09-28,UPI-CINEPOL LTD-154114@apl,782.8,UPI,Entertainment
2025-12-12,UPI-WELLNESSFOREVER-663254@okaxis,118.05,UPI,Health & Fitness
2026-06-03,IMPS-680099-BROKERRENTTRANSFER PVT LTD,10068.69,IMPS,Rent
2025-07-02,ACH-RTGS INWARD CREDIT PVT LTD-246031,11661.34,ACH,Income
2025-10-12,UPI-BHARAT PETROLEUM-181565@ybl,546.55,UPI,Transport
2025-10-20,POS 540696 VISHALMEGAMART INDIA BLR,1463.46,POS,Groceries
2026-03-05,POS 635170 WELLNESS FOREVER PVT LTD BLR,585.77,POS,Health & Fitness
2026-05-11,POS 245066 ICICI H LTD NOIDA,23162.06,POS,Transfers & Payments
2026-01-04,UPI-THEOBROMA INDIA-9419@paytm,1052.23,UPI,Dining
2025-12-06,NEFT-BROKER RENT TRANSFER-N668637,12894.83,NEFT,Rent
2026-05-09,UPI-BIKANERVALA-77871@paytm,220.56,UPI,Dining
2025-12-20,NEFT-GEEKSFORGEEKSCOURSE-N395655,1204.01,NEFT,Shopping
2026-02-10,UPI-ADANI ELECTRICITY-790792@apl,2520.09,UPI,Utilities & Bills
2026-06-01,UPI-SUBWAY-870751@paytm,201.54,UPI,Dining
2025-07-08,UPI-ZEE5 INDIA-512832@ybl,312.39,UPI,Subscriptions
2026-04-16,UPI-SUBWAY INDIA-675488@oksbi,358.01,UPI,Dining
2025-10-10,UPI-MTNL DELHI INDIA-850191@oksbi,321.83,UPI,Utilities & Bills
2025-11-04,UPI-STARBAZAAR-482079@okaxis,388.9,UPI,Groceries
2025-11-19,IMPS-453852-ADANIELECTRICITY LTD,2320.49,IMPS,Utilities & Bills
2026-01-09,UPI-STAR BAZAAR PVT LTD-767023@oksbi,1642.37,UPI,Groceries
2025-10-12,UPI-STAR BAZAAR-915442@upi,306.8,UPI,Groceries
2026-06-19,POS 953400 GEEKSFORGEEKS C PVT LTD MUM,4802.55,POS,Shopping
2025-11-10,POS 308041 BHARATPETROLEUM NOIDA,2423.35,POS,Transport
2026-03-05,NEFT-THEOBROMA LTD-N684347,383.82,NEFT,Dining
2026-04-11,NEFT-WELLNESS FOREVER-N188179,138.52,NEFT,Health & Fitness
2025-11-29,UPI-WELLNESSFOREVER PVT LTD-159731@paytm,100.5,UPI,Health & Fitness
2026-01-21,UPI-THEOBROMA INDIA-468164@ibl,393.16,UPI,Dining
2026-05-29,UPI-STARBAZAAR PVT LTD-462567@upi,953.37,UPI,Groceries
2026-02-06,IMPS-249422-MERU CABS LTD,326.52,IMPS,Transport
2026-06-09,UPI-FORTIS HOSPITAL LTD-687140@okaxis,5677.39,UPI,Health & Fitness
2026-06-03,UPI-BANKTRANSFER PVT LTD-420756@upi,3082.29,UPI,Transfers & Payments
2025-08-02,ACH-BROKER RENT TRANSFER LTD-327584,12623.06,ACH,Rent
2025-09-01,POS 774943 EVENTTICKET DEL,507.82,POS,Entertainment
2025-10-14,UPI-BHARATPETROLEUM LTD-432233@ybl,2487.44,UPI,Transport
2025-12-01,NEFT-BROKERRENTTRANSFER-N325036,11940.22,NEFT,Rent
2025-08-05,UPI-ADANIELECTRICITY-227231@okaxis,3310.15,UPI,Utilities & Bills
2025-12-27,NEFT-AMAZON PRIME VIDEO PVT LTD-N565675,1263.68,NEFT,Subscriptions
2025-09-20,UPI-FORTIS HOSPITAL INDIA-224267@ibl,2212.15,UPI,Health & Fitness
2026-02-06,POS 1206 STARBAZAAR LTD GZB,945.88,POS,Groceries
2026-06-04,POS 586477 BHIM UPI INDIA MUM,566.87,POS,Transfers & Payments
2025-12-09,UPI-EVENTTICKET INDIA-829568@ybl,504.44,UPI,Entertainment
2026-01-13,UPI-ADANIELECTRICITY-109885@upi,3548.23,UPI,Utilities & Bills
2026-01-19,UPI-THEOBRO PVT LTD-83545@oksbi,373.43,UPI,Dining
2025-08-12,UPI-MTNLDELHI INDIA-794545@upi,550.4,UPI,Utilities & Bills
2025-09-03,UPI-MERUCABS-413279@upi,414.28,UPI,Transport
2026-01-26,POS 719003 FORTISHOSPITAL LTD MUM,5698.03,POS,Health & Fitness
2026-06-03,UPI-MTNLDELHI PVT LTD-419357@paytm,227.8,UPI,Utilities & Bills
2025-11-07,ACH-RTGS INWARD CREDIT INDIA-83349,23894.81,ACH,Income
2025-11-16,POS 32095 VISHALMEGAMART LTD DEL,480.13,POS,Groceries
2026-02-16,POS 965983 VISHAL MEGA MART INDIA MUM,219.07,POS,Groceries
2025-12-07,ACH-RTGSINWARDCREDIT LTD-102807,12249.6,ACH,Income
